Soru;A;B;C;D;Dogru
Apple kelimesinin anlamı nedir?;Armut;Elma;Muz;Portakal;2
Run kelimesinin anlamı aşağıdakilerden hangisidir?;Uçmak;Koşmak;Yüzmek;Zıplamak;2
Big ne demektir?;Büyük;Küçük;Uzun;Kısa;1
Book nedir?;Kalem;Defter;Kitap;Silgi;3
Blue hangi renktir?;Mavi;Kırmızı;Sarı;Siyah;1
Teacher ne demektir?;Doktor;Öğretmen;Şoför;Çiftçi;2
House kelimesinin anlamı hangisidir?;Okul;Ev;Sınıf;Kapı;2
Dog kelimesinin anlamı nedir?;Kedi;Köpek;Kuş;Tavşan;2
Cold ne anlama gelir?;Soğuk;Sıcak;Islak;Kuru;1
Chair aşağıdakilerden hangisidir?;Sandalye;Masa;Lamba;Kapı;1
Orange kelimesinin anlamı nedir?;Üzüm;Portakal;Çilek;Kiraz;2
Jump ne demektir?;Oturmak;Zıplamak;Yazmak;İçmek;2
Small ne anlama gelir?;Büyük;Küçük;Hızlı;Yavaş;2
Pencil nedir?;Silgi;Kalem;Defter;Kitap;2
Green hangi renktir?;Yeşil;Kırmızı;Mor;Turuncu;1
Doctor ne demektir?;Öğretmen;Doktor;Aşçı;İşçi;2
School kelimesinin anlamı nedir?;Ev;Okul;Park;Bahçe;2
Cat kelimesinin anlamı nedir?;Köpek;Kedi;Balık;Kuş;2
Hot ne anlama gelir?;Sıcak;Soğuk;Temiz;Kirli;1
Table ne demektir?;Lamba;Yatak;Masa;Pencere;3
